繁體中文,英文,越南文,最新修改日期,備註
太空熊,Space Bear,Gấu Vũ Trụ,2025/12/12,2025/12/12 柏文提供越南文
彈簧狗,Spring Dog,Chó Lò Xo,2025/12/12,2025/12/12 柏文提供越南文
堅鎧鯊,Armored Shark,Cá Mập Giáp Sắt,2025/12/12,2025/12/12 柏文提供越南文
煉獄龜,Purgatory Turtle,Rùa Luyện Ngục,2025/12/12,2025/12/12 柏文提供越南文
卷角羊,Curly Horn Sheep,Cừu Sừng Xoắn,2025/12/12,2025/12/12 柏文提供越南文
飛天鼠,Flying Squirrel,Chuột Bay,2025/12/12,2025/12/12 柏文提供越南文
海灘鼬,Beach Weasel,Chồn Bãi Biển,2025/12/12,2025/12/12 柏文提供越南文
行雷龍,Thunder Dragon,Rồng Lôi Động,2025/12/12,2025/12/12 柏文提供越南文
降風龍,Storm Dragon,Rồng Giáng Phong,,
昇龍序,Rising Dragon,Rồng Thăng Thiên,2025/12/12,2025/12/12 柏文提供越南文
飛行猿,Flying Ape,Khỉ Bay,2025/12/12,2025/12/12 柏文提供越南文
暴走熊,Raging Bear,Gấu Phẫn Nộ,2025/12/12,2025/12/12 柏文提供越南文
財神爺,God of Wealth,Ông Thần Tài,2025/12/12,2025/12/12 柏文提供越南文
鳳凰寶刀,Phoenix Blade,Phụng Đầu Đao,2025/12/12,2025/12/12 柏文提供越南文
河豚王,Puffer King,Vua Cá Nóc,2025/12/12,2025/12/12 柏文提供越南文
神燈精靈,Genie,Thần Đèn,2025/12/12,2025/12/12 柏文提供越南文
兔吉萊,Magic Bunny,Thỏ Ảo Thuật,2025/12/12,2025/12/12 柏文提供越南文
淘金鼠,Gold Digger Mouse,Chuột Đào Vàng,2025/12/12,2025/12/12 柏文提供越南文
企鵝車長,Penguin Conductor,Xe Lửa Cánh Cụt,2025/12/12,2025/12/12 柏文提供越南文
水晶堡壘,Crystal Fortress,Đài Pha Lê,2025/12/12,2025/12/12 柏文提供越南文
美人魚,Mermaid,Nàng Tiên Cá,2025/12/12,2025/12/12 柏文提供越南文
雷山龍,Thunder Mountain Dragon,Rồng Sấm,2025/12/12,2025/12/12 柏文提供越南文
煉獄角龍,Purgatory Horned Dragon,Rồng Sừng,2025/12/12,2025/12/12 柏文提供越南文
霸王蛛蟹,Tyrant Spider Crab,Cua Nhện,2025/12/12,2025/12/12 柏文提供越南文
幽冥狂蝠,Phantom Bat,Hắc Dơi,2025/12/12,2025/12/12 柏文提供越南文
酷寒巨鯨,Frozen Giant Whale,Cá Voi Băng,2025/12/12,2025/12/12 柏文提供越南文
鑽頭蟹,Drill Crab,Cua Khoan,2025/12/12,2025/12/12 柏文提供越南文
火山蟹,Volcano Crab,Cua Núi Lửa,2025/12/12,2025/12/12 柏文提供越南文
導彈蟹,Missile Crab,Cua Tên Lửa,2025/12/12,2025/12/12 柏文提供越南文
鋸齒蟹,Saw Crab,Cua Răng Cưa,2025/12/12,2025/12/12 柏文提供越南文
極地潛艇,Polar Submarine,Tàu Ngầm Địa Cực,2025/12/12,2025/12/12 柏文提供越南文
巨角潛艇,Giant Horn Submarine,Tàu Ngầm Sừng Khủng,2025/12/12,2025/12/12 柏文提供越南文
波動潛艇,Wave Submarine,Tàu Ngầm Sóng Điện Từ,2025/12/12,2025/12/12 柏文提供越南文
霸王潛艇,Tyrant Submarine,Tàu Ngầm Bá Vương,2025/12/12,2025/12/12 柏文提供越南文
天使魚,Angelfish,Cá Thiên Thần,2025/12/12,2025/12/12 柏文提供越南文
刀鋒鯊,Blade Shark,Cá Mập Dao Bén,2025/12/12,2025/12/12 柏文提供越南文
冰晶蠍,Ice Crystal Scorpion,Bọ Cạp Thủy Tinh,2025/12/12,2025/12/12 柏文提供越南文
仙燈魚,Fairy Lantern Fish,Cá Đèn Tiên,2025/12/12,2025/12/12 柏文提供越南文
小石獅,Little Stone Lion,Sư Tử Đá Nhỏ,2025/12/12,2025/12/12 柏文提供越南文
晚安鴞,Goodnight Owl,Cú Đêm,2025/12/12,2025/12/12 柏文提供越南文
海哞仔,Sea Calf,Bò Biển,2025/12/12,2025/12/12 柏文提供越南文
鬼武鯊,Ghost Warrior Shark,Cá Mập Quỷ,2025/12/12,2025/12/12 柏文提供越南文
刃槌鱷,Blade Hammer Croc,Cá Sấu Búa,2025/12/12,2025/12/12 柏文提供越南文
漢堡蟹,Burger Crab,Cua Hamburger,2025/12/12,2025/12/12 柏文提供越南文
瘋瘋魚,Crazy Fish,Cá Điên,2025/12/12,2025/12/12 柏文提供越南文
德古鯊,Dracula Shark,Cá Mập Ma Cà Rồng,,
崩鎚獸,Crusher Beast,Quái Thú Búa,,
波蘿龜,Pineapple Turtle,Rùa Thơm,,
打火象,Fire Starter Elephant,Voi Mồi Lửa,2025/12/12,2025/12/12 柏文提供越南文
飛行猿,Flying Ape,Khỉ Bay,2025/12/12,2025/12/12 柏文提供越南文
鍊金貓,Alchemist Cat,Mèo Luyện Kim,2025/12/12,2025/12/12 柏文提供越南文
九尾狐,Nine-Tailed Fox,Cửu Vĩ Hồ,2025/12/12,2025/12/12 柏文提供越南文
年獸,Nian Beast,Niên Thú,2025/12/12,2025/12/12 柏文提供越南文
蜥蜴警長,Sheriff Lizard,Cảnh Sát Thằn Lằn,2025/12/12,2025/12/12 柏文提供越南文
南瓜王,Pumpkin King,Vua Bí Ngô,2025/12/12,2025/12/12 柏文提供越南文
啤酒桶,Beer Barrel,Thùng Bia,2025/12/12,2025/12/12 柏文提供越南文
至尊龍王,Supreme Dragon King,Long Vương,2025/12/12,2025/12/12 柏文提供越南文
烈爪虎,Fierce Claw Tiger,Hổ Vuốt Sắc,2025/12/12,2025/12/12 柏文提供越南文
星空鯊,Galaxy Shark,Mập Ngân Hà,2025/12/12,2025/12/12 柏文提供越南文
天官鯨,Celestial Whale,Thần Ngư,2025/12/12,2025/12/12 柏文提供越南文
貔貅,Pixiu,Tỳ Hưu,2025/12/12,2025/12/12 柏文提供越南文
大橘利,Big Orange Cat,Mèo Đại Cát,2025/12/12,2025/12/12 柏文提供越南文
渡假熊,Vacation Bear,Gấu Chữa Lành,2025/12/12,2025/12/12 柏文提供越南文
符文龜,Rune Turtle,Rùa Ma Pháp,2025/12/12,2025/12/12 柏文提供越南文
漢堡蟹,Burger Crab,Cua Hamburger,2025/12/12,2025/12/12 柏文提供越南文
海哞仔,Sea Calf,Bò Biển,2025/12/12,2025/12/12 柏文提供越南文
盔海馬,Armored Seahorse,Cá Ngựa Giáp,2025/12/12,2025/12/12 柏文提供越南文
巨鉗蝦,Giant Claw Shrimp,Tôm Càng Khủng,2025/12/12,2025/12/12 柏文提供越南文
夢魔魟,Nightmare Ray,Đuối Mộng Ma,2025/12/12,2025/12/12 柏文提供越南文
冰果鴨,Ice Fruit Duck,Vịt Trái Cây Băng,,
蟠桃小瑪莉,Peach Mini Mary,Đào Tiên Mini,,
白龍馬,White Dragon Horse,Bạch Long Mã,,
唐三藏,Tang Sanzang,Đường Tam Tạng,,
悟空,Wukong,Ngộ Không,,
牛魔王,Bull Demon King,Ngưu Ma Vương,,
八戒,Bajie,Bát Giới,,
沙僧,Sha Monk,Sa Tăng,,
貝殼,Shell,Vỏ Sò,,
芭蕉扇,Banana Fan,Quạt Ba Tiêu,,
飛頭,Flying Head,Đầu Bay,,
葫蘆,Gourd,Hồ Lô,,
蛙人,Frogman,Người Ếch,,
黑熊精,Black Bear Spirit,Hắc Hùng Tinh,,
牛頭人,Minotaur,Ngưu Đầu Nhân,,
白虎,White Tiger,Bạch Hổ,,
麒麟,Qilin,Kỳ Lân,,
烈焰豬,Flame Pig,Heo Lửa,,
魟龍,Ray Dragon,Rồng Đuối,,
寶石蟲,Gem Bug,Bọ Đá Quý,,
劇毒蛙,Toxic Frog,Ếch Độc,,
寶石蜥蜴,Gem Lizard,Thằn Lằn Đá Quý,,
風蛾,Wind Moth,Bướm Gió,,
珊瑚鳥,Coral Bird,Chim San Hô,,
夢蝶(風),Dream Butterfly (Wind),Bướm Mộng (Gió),,
夢蝶(火),Dream Butterfly (Fire),Bướm Mộng (Lửa),,
夢蝶(水),Dream Butterfly (Water),Bướm Mộng (Nước),,
夢蝶(地),Dream Butterfly (Earth),Bướm Mộng (Đất),,
火焰蝙蝠,Flame Bat,Dơi Lửa,,
風靈子,Wind Spirit,Phong Linh Tử,,
星鯊,Star Shark,Cá Mập Sao,,
羽鏝,Feather Ray,Đuối Lông Vũ,,
火岩鯊,Lava Shark,Cá Mập Dung Nham,,
水精靈,Water Sprite,Tinh Linh Nước,,
森精靈,Forest Sprite,Tinh Linh Rừng,,
火精靈,Fire Sprite,Tinh Linh Lửa,,
風精靈,Wind Sprite,Tinh Linh Gió,,
魟魚,Stingray,Cá Đuối,,
夜光烏賊,Luminous Squid,Mực Phát Quang,,
粉金魚,Pink Goldfish,Cá Vàng Hồng,,
飛河豚,Flying Puffer,Cá Nóc Bay,,
兇角魚,Fierce Horn Fish,Cá Sừng Dữ,,
搖滾企鵝,Rock Penguin,Chim Cánh Cụt Rock,,
小丑魚,Clownfish,Cá Hề,,
神仙魚,Angelfish,Cá Thần Tiên,,
